# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1076392	1077819	+					cps1C		lp_1179	1428		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1076392	1077819	+	CCC78566.1			oligosaccharide transporter (flippase)	cps1C		lp_1179	1428	475	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1077831	1078607	+					cps1D		lp_1180	777		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1077831	1078607	+	CCC78567.1			glycosyltransferase	cps1D		lp_1180	777	258	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1078600	1079604	+					cps1E		lp_1181	1005		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1078600	1079604	+	CCC78568.1			acyltransferase/acetyltransferase	cps1E		lp_1181	1005	334	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1079618	1080241	+					cps1F		lp_1182	624		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1079618	1080241	+	CCC78569.1			polysaccharide biosynthesis protein, chain length regulator	cps1F		lp_1182	624	207	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1080249	1081379	+					cps1G		lp_1183	1131		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1080249	1081379	+	CCC78570.1			glycosyltransferase, family 1 (GT1)	cps1G		lp_1183	1131	376	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1081380	1082306	+					cps1H		lp_1184	927		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1081380	1082306	+	CCC78571.1			glycosyltransferase (rhamnosyltransferase),family 2 (GT2)	cps1H		lp_1184	927	308	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1082317	1083483	+					cps1I		lp_1185	1167		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1082317	1083483	+	CCC78572.1			polysaccharide polymerase	cps1I		lp_1185	1167	388	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1083489	1084352	+					rfbA		lp_1186	864		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1083489	1084352	+	CCC78573.1			glucose-1-phosphate thymidylyltransferase	rfbA		lp_1186	864	287	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1084375	1085664	+							lp_1187	1290		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1084375	1085664	+	CCC78574.1			glycosylhydrolase			lp_1187	1290	429	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1085724	1086305	+					rfbC		lp_1188	582		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1085724	1086305	+	CCC78575.1			dTDP-4-dehydrorhamnose 3,5-epimerase	rfbC		lp_1188	582	193	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1086315	1087343	+					rfbB		lp_1189	1029		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1086315	1087343	+	CCC78576.1			dTDP-glucose 4,6-dehydratase	rfbB		lp_1189	1029	342	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1087413	1088255	+					rfbD		lp_1190	843		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1087413	1088255	+	CCC78577.1			dTDP-4-dehydrorhamnose reductase	rfbD		lp_1190	843	280	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1088344	1088556	-							lp_1191	213		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1088344	1088556	-	CCC78578.1			transposase, fragment			lp_1191	213	70	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1088478	1088963	-							lp_1192	486		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1088478	1088963	-	CCC78579.1			transposase, fragment			lp_1192	486	161	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1089006	1089233	-							lp_1193	228		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1089006	1089233	-	CCC78580.1			transposase, fragment			lp_1193	228	75	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1089230	1089577	-							lp_1194	348		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1089230	1089577	-	CCC78581.1			transposase, fragment			lp_1194	348	115	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1089676	1089903	-							lp_1195	228		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1089676	1089903	-	CCC78582.1			transposase, fragment			lp_1195	228	75	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1089966	1090553	-							lp_1196	588		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1089966	1090553	-	CCC78583.1			integrase/recombinase			lp_1196	588	195	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1090910	1091680	+					cps2A		lp_1197	771		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1090910	1091680	+	CCC78584.1			polysaccharide biosynthesis protein, chain length regulator	cps2A		lp_1197	771	256	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1091692	1092420	+					cps2B		lp_1198	729		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1091692	1092420	+	CCC78585.1			polysaccharide biosynthesis protein,regulator	cps2B		lp_1198	729	242	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1092407	1093180	+					cps2C		lp_1199	774		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1092407	1093180	+	CCC78586.1			polysaccharide biosynthesis protein,phosphotyrosine-protein phosphatase	cps2C		lp_1199	774	257	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1093198	1094145	+					cps2D		lp_1200	948		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1093198	1094145	+	CCC78587.1			UDP N-acetyl glucosamine 4-epimerase, NAD dependent	cps2D		lp_1200	948	315	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1094126	1094803	+					cps2E		lp_1201	678		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1094126	1094803	+	CCC78588.1			priming glycosyltransferase, polyprenyl glycosylphosphotransferase	cps2E		lp_1201	678	225	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1094804	1095898	+					cps2F		lp_1202	1095		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1094804	1095898	+	CCC78589.1			glycosyltransferase, family 1 (GT1)	cps2F		lp_1202	1095	364	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1095899	1096912	+					cps2G		lp_1203	1014		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1095899	1096912	+	CCC78590.1			polysaccharide biosynthesis protein	cps2G		lp_1203	1014	337	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1096950	1098089	+					cps2H		lp_1204	1140		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1096950	1098089	+	CCC78591.1			polysaccharide polymerase	cps2H		lp_1204	1140	379	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1098096	1099646	+					cps2I		lp_1205	1551		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1098096	1099646	+	CCC78592.1			oligosaccharide transporter (flippase)	cps2I		lp_1205	1551	516	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1099786	1100811	+					cps2J		lp_1206	1026		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1099786	1100811	+	CCC78593.1			glycosyltransferase, family 1 (GT1)	cps2J		lp_1206	1026	341	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1100936	1101136	+					cps2K		lp_1207	201		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1100936	1101136	+	CCC78594.1			polysaccharide biosynthesis protein	cps2K		lp_1207	201	66	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1101326	1101490	-							lp_1208	165		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1101326	1101490	-	CCC78595.1			transposase, fragment			lp_1208	165	54	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1102296	1102964	+							lp_1210	669		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1102296	1102964	+	CCC78596.1			hypothetical protein			lp_1210	669	222	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1103001	1103834	+							lp_1211	834		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1103001	1103834	+	CCC78597.1			hypothetical protein			lp_1211	834	277	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1104022	1104672	-							lp_1212	651		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1104022	1104672	-	CCC78598.1			transposase, fragment			lp_1212	651	216	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1104907	1105194	-							lp_1213	288		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1104907	1105194	-	CCC78599.1			transposase, fragment			lp_1213	288	95	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1105224	1105604	-							lp_1214	381		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1105224	1105604	-	CCC78600.1			transposase, fragment			lp_1214	381	126	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1106171	1107082	+					cps3A		lp_1215	912		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1106171	1107082	+	CCC78601.1			glycosyltransferase, family 2 (GT2)	cps3A		lp_1215	912	303	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1107165	1108097	+					cps3B		lp_1216	933		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1107165	1108097	+	CCC78602.1			glycosyltransferase, family 2 (GT2)	cps3B		lp_1216	933	310	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1108610	1109743	+					glf2		lp_1219	1134		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1108610	1109743	+	CCC78603.1			UDP-galactopyranose mutase	glf2		lp_1219	1134	377	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1109759	1110892	+					cps3D		lp_1220	1134		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1109759	1110892	+	CCC78604.1			polysaccharide biosynthesis protein	cps3D		lp_1220	1134	377	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1110889	1111521	+					cps3E		lp_1221	633		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1110889	1111521	+	CCC78605.1			polysaccharide biosynthesis protein	cps3E		lp_1221	633	210	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1111532	1112422	+					cps3F		lp_1222	891		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1111532	1112422	+	CCC78606.1			polysaccharide biosynthesis membrane protein	cps3F		lp_1222	891	296	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1112409	1112729	+					cps3G		lp_1224	321		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1112409	1112729	+	CCC78607.1			polysaccharide biosynthesis membrane protein	cps3G		lp_1224	321	106	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1112726	1113835	+					cps3H		lp_1225	1110		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1112726	1113835	+	CCC78608.1			polysaccharide biosynthesis protein	cps3H		lp_1225	1110	369	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1113819	1114898	+					cps3I		lp_1226	1080		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1113819	1114898	+	CCC78609.1			O-acetyltransferase	cps3I		lp_1226	1080	359	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1115034	1115810	+					cps3J		lp_1227	777		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1115034	1115810	+	CCC78610.1			glycosyltransferase	cps3J		lp_1227	777	258	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1115935	1116681	-							lp_1228	747		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1115935	1116681	-	CCC78611.1			transcription regulator, AraC family			lp_1228	747	248	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1116988	1120020	+					msa		lp_1229	3033		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1116988	1120020	+	CCC78612.1			mannose-specific adhesin, LPXTG-motif cell wall anchor	msa		lp_1229	3033	1010	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1120032	1120472	+							lp_1230	441		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1120032	1120472	+	CCC78613.1			transcription regulator, MarR family			lp_1230	441	146	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1120602	1122023	-							lp_1231	1422		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1120602	1122023	-	CCC78614.1			oligosaccharide transporter (flippase)			lp_1231	1422	473	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1122461	1123138	-							lp_1233	678		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1122461	1123138	-	CCC78615.1			priming glycosyltransferase,undecaprenyl-phosphate beta-glucosephosphotransferase			lp_1233	678	225	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1124006	1124311	+							lp_1234	306		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1124006	1124311	+	CCC78616.1			hypothetical protein			lp_1234	306	101	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1124413	1124640	-							lp_1235	228		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1124413	1124640	-	CCC78617.1			hypothetical protein, DUF2922 family			lp_1235	228	75	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1124670	1124882	-							lp_1236	213		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1124670	1124882	-	CCC78618.1			hypothetical protein			lp_1236	213	70	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1124997	1125191	-							lp_1237	195		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1124997	1125191	-	CCC78619.1			hypothetical protein			lp_1237	195	64	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1125227	1125775	-							lp_1238	549		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1125227	1125775	-	CCC78620.1			hypothetical protein			lp_1238	549	182	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1126010	1126768	+							lp_1239	759		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1126010	1126768	+	CCC78621.1			hypothetical protein			lp_1239	759	252	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1126801	1127604	+					recX		lp_1240	804		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1126801	1127604	+	CCC78622.1			regulatory protein recX	recX		lp_1240	804	267	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1127702	1128250	+							lp_1241	549		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1127702	1128250	+	CCC78623.1			hypothetical protein, DUF402 family			lp_1241	549	182	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1128464	1129195	-							lp_1242	732		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1128464	1129195	-	CCC78624.1			extracellular protein, NlpC/P60 family,gamma-D-glutamate-meso-diaminopimelate muropeptidase			lp_1242	732	243	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1129371	1129748	+							lp_1243	378		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1129371	1129748	+	CCC78625.1			transcription regulator, Cro/CI family			lp_1243	378	125	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1129902	1130096	+							lp_1244	195		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1129902	1130096	+	CCC78626.1			hypothetical protein			lp_1244	195	64	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1130223	1131149	-					hicD2		lp_1245	927		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1130223	1131149	-	CCC78627.1			L-2-hydroxyisocaproate dehydrogenase	hicD2		lp_1245	927	308	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1131313	1132506	+							lp_1247	1194		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1131313	1132506	+	CCC78628.1			transport protein, DUF20 family			lp_1247	1194	397	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1132559	1132957	+					tagD2		lp_1248	399		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1132559	1132957	+	CCC78629.1			glycerol-3-phosphate cytidylyltransferase	tagD2		lp_1248	399	132	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1133122	1134477	-					gntP		lp_1249	1356		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1133122	1134477	-	CCC78630.1			gluconate transport protein	gntP		lp_1249	1356	451	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1134489	1136003	-					gntK		lp_1250	1515		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1134489	1136003	-	CCC78631.1			gluconokinase	gntK		lp_1250	1515	504	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1136019	1136915	-							lp_1251	897		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1136019	1136915	-	CCC78632.1			6-phosphogluconate dehydrogenase (decarboxylating)			lp_1251	897	298	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1137086	1138408	-					gshR2		lp_1253	1323		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1137086	1138408	-	CCC78633.1			glutathione reductase	gshR2		lp_1253	1323	440	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1138706	1140283	+					prfC		lp_1255	1578		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1138706	1140283	+	CCC78634.1			peptide chain release factor 3	prfC		lp_1255	1578	525	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1140881	1142335	+							lp_1256	1455		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1140881	1142335	+	CCC78635.1			extracellular protein			lp_1256	1455	484	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1142425	1143450	-							lp_1257	1026		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1142425	1143450	-	CCC78636.1			hypothetical protein			lp_1257	1026	341	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1143591	1144472	+							lp_1258	882		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1143591	1144472	+	CCC78637.1			transcription regulator, LysR family			lp_1258	882	293	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1144701	1145546	+							lp_1259	846		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1144701	1145546	+	CCC78638.1			anion exporter, TauE/SafE family			lp_1259	846	281	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1145546	1145926	+							lp_1260	381		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1145546	1145926	+	CCC78639.1			hypothetical membrane protein			lp_1260	381	126	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1146473	1148116	+					oppA		lp_1261	1644		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1146473	1148116	+	CCC78640.1			oligopeptide ABC transporter, substrate binding protein	oppA		lp_1261	1644	547	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1148274	1149203	+					oppB		lp_1262	930		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1148274	1149203	+	CCC78641.1			oligopeptide ABC transporter, permease protein	oppB		lp_1262	930	309	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1149207	1150241	+					oppC		lp_1263	1035		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1149207	1150241	+	CCC78642.1			oligopeptide ABC transporter, permease protein	oppC		lp_1263	1035	344	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1150257	1151336	+					oppD		lp_1264	1080		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1150257	1151336	+	CCC78643.1			oligopeptide ABC transporter, ATP-binding protein	oppD		lp_1264	1080	359	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1151343	1152308	+					oppF		lp_1265	966		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1151343	1152308	+	CCC78644.1			oligopeptide ABC transporter, ATP-binding protein	oppF		lp_1265	966	321	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1152847	1153236	+							lp_1267	390		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1152847	1153236	+	CCC78645.1			transcription regulator, MarR family			lp_1267	390	129	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1153430	1153981	+							lp_1268	552		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1153430	1153981	+	CCC78646.1			integrase/recombinase			lp_1268	552	183	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1154096	1156315	-					clpE		lp_1269	2220		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1154096	1156315	-	CCC78647.1			ATP-dependent Clp protease, ATP-binding subunit ClpE	clpE		lp_1269	2220	739	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1157146	1157412	+					ptsH		lp_1273	267		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1157146	1157412	+	CCC78648.1			phosphocarrier protein Hpr	ptsH		lp_1273	267	88	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1157412	1159142	+					ptsI		lp_1274	1731		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1157412	1159142	+	CCC78649.1			phosphoenolpyruvate-protein phosphotransferase	ptsI		lp_1274	1731	576	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1159680	1160858	+							lp_1275	1179		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1159680	1160858	+	CCC78650.1			1,2-diacylglycerol 3-glucosyltransferase			lp_1275	1179	392	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1160935	1161957	+							lp_1276	1023		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1160935	1161957	+	CCC78651.1			glucosyl-diacylglycerol 6-beta-glucosyltransferase			lp_1276	1023	340	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1161961	1163016	+							lp_1277	1056		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1161961	1163016	+	CCC78652.1			hypothetical membrane protein			lp_1277	1056	351	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1163080	1164318	+					dacA2		lp_1278	1239		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1163080	1164318	+	CCC78653.1			serine-type D-Ala-D-Ala carboxypeptidase	dacA2		lp_1278	1239	412	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1164479	1165666	-					araT1		lp_1280	1188		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1164479	1165666	-	CCC78654.1			aromatic amino acid specific aminotransferase	araT1		lp_1280	1188	395	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1165858	1166094	+							lp_1281	237		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1165858	1166094	+	CCC78655.1			hypothetical protein, DUF1797 family			lp_1281	237	78	
gene	protein_coding	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1166250	1168355	+							lp_1283	2106		
CDS	with_protein	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1166250	1168355	+	CCC78656.1			membrane sulfatase, alkaline phosphatase superfamily protein			lp_1283	2106	701	
gene	rRNA	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1169161	1170731	+							lp_rRNA04	1571		
rRNA		GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1169161	1170731	+				16S ribosomal RNA			lp_rRNA04	1571		
gene	tRNA	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1170816	1170890	+							lp_tRNA22	75		
tRNA		GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1170816	1170890	+				tRNA-Ile			lp_tRNA22	75		
gene	tRNA	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1170932	1171004	+							lp_tRNA23	73		
tRNA		GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1170932	1171004	+				tRNA-Ala			lp_tRNA23	73		
gene	rRNA	GCA_000203855.3	Primary Assembly	chromosome		AL935263.2	1171166	1174085	+							lp_rRNA05	2920		
