# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	665003	665287	+					groES		LP_RS03160	285		old_locus_tag=lp_0727
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	665003	665287	+	WP_003640985.1	WP_003640985.1		co-chaperone GroES	groES		LP_RS03160	285	94	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	665343	666968	+					groL		LP_RS03165	1626		old_locus_tag=lp_0728
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	665343	666968	+	WP_003640986.1	WP_003640986.1		chaperonin GroEL	groL		LP_RS03165	1626	541	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	667218	669053	+							LP_RS03170	1836		old_locus_tag=lp_0729
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	667218	669053	+	WP_003640987.1	WP_003640987.1		APC family permease			LP_RS03170	1836	611	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	669269	670366	+							LP_RS03175	1098		old_locus_tag=lp_0730
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	669269	670366	+	WP_003640988.1	WP_003640988.1		undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase			LP_RS03175	1098	365	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	670691	671593	+							LP_RS03180	903		old_locus_tag=lp_0733
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	670691	671593	+	WP_003643949.1	WP_003643949.1		phosphate ABC transporter substrate-binding protein			LP_RS03180	903	300	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	671784	672431	-							LP_RS03185	648		old_locus_tag=lp_0734
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	671784	672431	-	WP_011101145.1	WP_011101145.1		YigZ family protein			LP_RS03185	648	215	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	672498	673850	+							LP_RS03190	1353		old_locus_tag=lp_0735
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	672498	673850	+	WP_011101146.1	WP_011101146.1		DNA/RNA helicase			LP_RS03190	1353	450	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	673810	674484	+							LP_RS03195	675		old_locus_tag=lp_0736
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	673810	674484	+	WP_003643951.1	WP_003643951.1		ComF family protein			LP_RS03195	675	224	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	674618	675184	+					raiA		LP_RS03200	567		old_locus_tag=lp_0737
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	674618	675184	+	WP_003637821.1	WP_003637821.1		ribosome-associated translation inhibitor RaiA	raiA		LP_RS03200	567	188	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	675571	677934	+					secA		LP_RS03205	2364		old_locus_tag=lp_0739
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	675571	677934	+	WP_003643952.1	WP_003643952.1		preprotein translocase subunit SecA	secA		LP_RS03205	2364	787	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	678040	679156	+					prfB		LP_RS03210	1117		old_locus_tag=lp_0741
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	678040	679156	+	WP_101495128.1	WP_101495128.1		peptide chain release factor 2	prfB		LP_RS03210	1116	371	ribosomal_slippage
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	679340	680515	+							LP_RS03215	1176		old_locus_tag=lp_0742
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	679340	680515	+	WP_003640996.1	WP_003640996.1		membrane protein			LP_RS03215	1176	391	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	680515	681243	+							LP_RS03220	729		old_locus_tag=lp_0743
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	680515	681243	+	WP_003640997.1	WP_003640997.1		response regulator transcription factor			LP_RS03220	729	242	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	681209	682639	+							LP_RS03225	1431		old_locus_tag=lp_0744
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	681209	682639	+	WP_223843872.1	WP_223843872.1		ATP-binding protein			LP_RS03225	1431	476	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	682983	683858	+							LP_RS03230	876		old_locus_tag=lp_0746
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	682983	683858	+	WP_011101150.1	WP_011101150.1		phosphate ABC transporter substrate-binding protein PstS family protein			LP_RS03230	876	291	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	683869	684798	+					pstC		LP_RS03235	930		old_locus_tag=lp_0747
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	683869	684798	+	WP_003643955.1	WP_003643955.1		phosphate ABC transporter permease subunit PstC	pstC		LP_RS03235	930	309	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	684788	685672	+					pstA		LP_RS03240	885		old_locus_tag=lp_0748
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	684788	685672	+	WP_003641001.1	WP_003641001.1		phosphate ABC transporter permease PstA	pstA		LP_RS03240	885	294	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	685687	686496	+					pstB		LP_RS03245	810		old_locus_tag=lp_0749
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	685687	686496	+	WP_003641002.1	WP_003641002.1		phosphate ABC transporter ATP-binding protein PstB	pstB		LP_RS03245	810	269	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	686508	687263	+					pstB		LP_RS03250	756		old_locus_tag=lp_0750
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	686508	687263	+	WP_003641003.1	WP_003641003.1		phosphate ABC transporter ATP-binding protein PstB	pstB		LP_RS03250	756	251	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	687276	687950	+					phoU		LP_RS03255	675		old_locus_tag=lp_0751
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	687276	687950	+	WP_003641004.1	WP_003641004.1		phosphate signaling complex protein PhoU	phoU		LP_RS03255	675	224	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	688050	688361	+							LP_RS03260	312		old_locus_tag=lp_0752
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	688050	688361	+	WP_011101151.1	WP_011101151.1		PspC domain-containing protein			LP_RS03260	312	103	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	688383	688748	+							LP_RS03265	366		old_locus_tag=lp_0753
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	688383	688748	+	WP_003641006.1	WP_003641006.1		phage holin family protein			LP_RS03265	366	121	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	688894	689841	+					hprK		LP_RS03270	948		old_locus_tag=lp_0754
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	688894	689841	+	WP_003643956.1	WP_003643956.1		HPr(Ser) kinase/phosphatase	hprK		LP_RS03270	948	315	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	689860	690708	+					lgt		LP_RS03275	849		old_locus_tag=lp_0755
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	689860	690708	+	WP_003646080.1	WP_003646080.1		prolipoprotein diacylglyceryl transferase	lgt		LP_RS03275	849	282	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	690726	691742	+							LP_RS03280	1017		old_locus_tag=lp_0756
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	690726	691742	+	WP_003646081.1	WP_003646081.1		NAD(P)H-dependent glycerol-3-phosphate dehydrogenase			LP_RS03280	1017	338	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	691786	692706	+					galU		LP_RS03285	921		old_locus_tag=lp_0757
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	691786	692706	+	WP_003641010.1	WP_003641010.1		UTP--glucose-1-phosphate uridylyltransferase GalU	galU		LP_RS03285	921	306	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	692804	693484	-							LP_RS03290	681		old_locus_tag=lp_0758
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	692804	693484	-	WP_011101152.1	WP_011101152.1		EAL domain-containing protein			LP_RS03290	681	226	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	693876	695288	+							LP_RS03295	1413		old_locus_tag=lp_0760
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	693876	695288	+	WP_011101153.1	WP_011101153.1		FAD-dependent oxidoreductase			LP_RS03295	1413	470	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	695481	696419	+					trxB		LP_RS03300	939		old_locus_tag=lp_0761
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	695481	696419	+	WP_003641020.1	WP_003641020.1		thioredoxin-disulfide reductase	trxB		LP_RS03300	939	312	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	696525	697157	-							LP_RS03305	633		old_locus_tag=lp_0762
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	696525	697157	-	WP_003641021.1	WP_003641021.1		DUF421 domain-containing protein			LP_RS03305	633	210	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	697158	697610	-							LP_RS03310	453		old_locus_tag=lp_0763
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	697158	697610	-	WP_003646084.1	WP_003646084.1		DUF3290 domain-containing protein			LP_RS03310	453	150	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	697829	699556	+							LP_RS03315	1728		old_locus_tag=lp_0764
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	697829	699556	+	WP_003646085.1	WP_003646085.1		phospho-sugar mutase			LP_RS03315	1728	575	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	699680	700390	-							LP_RS03320	711		old_locus_tag=lp_0765
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	699680	700390	-	WP_003643965.1	WP_003643965.1		EAL domain-containing protein			LP_RS03320	711	236	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	700544	701902	+							LP_RS03325	1359		old_locus_tag=lp_0766
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	700544	701902	+	WP_003646086.1	WP_003646086.1		FAD-dependent oxidoreductase			LP_RS03325	1359	452	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	702348	702905	-							LP_RS03330	558		old_locus_tag=lp_0769
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	702348	702905	-	WP_003641026.1	WP_003641026.1		M15 family metallopeptidase			LP_RS03330	558	185	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	703075	704271	+							LP_RS03335	1197		old_locus_tag=lp_0770
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	703075	704271	+	WP_003641027.1	WP_003641027.1		tetracycline resistance MFS efflux pump			LP_RS03335	1197	398	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	704377	705024	+							LP_RS03340	648		old_locus_tag=lp_0771
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	704377	705024	+	WP_003641028.1	WP_003641028.1		HD domain-containing protein			LP_RS03340	648	215	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	705173	707176	+					uvrB		LP_RS03345	2004		old_locus_tag=lp_0772
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	705173	707176	+	WP_003641029.1	WP_003641029.1		excinuclease ABC subunit UvrB	uvrB		LP_RS03345	2004	667	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	707211	710066	+					uvrA		LP_RS03350	2856		old_locus_tag=lp_0773
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	707211	710066	+	WP_003643969.1	WP_003643969.1		excinuclease ABC subunit UvrA	uvrA		LP_RS03350	2856	951	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	710127	710603	+							LP_RS03355	477		old_locus_tag=lp_0774
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	710127	710603	+	WP_003641031.1	WP_003641031.1		S-ribosylhomocysteine lyase			LP_RS03355	477	158	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	710941	712176	+							LP_RS03360	1236		old_locus_tag=lp_0775
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	710941	712176	+	WP_003641033.1	WP_003641033.1		argininosuccinate synthase			LP_RS03360	1236	411	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	712176	713579	+					argH		LP_RS03365	1404		old_locus_tag=lp_0776
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	712176	713579	+	WP_011101154.1	WP_011101154.1		argininosuccinate lyase	argH		LP_RS03365	1404	467	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	713781	714317	+							LP_RS03370	537		old_locus_tag=lp_0778
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	713781	714317	+	WP_011101155.1	WP_011101155.1		DUF308 domain-containing protein			LP_RS03370	537	178	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	714514	715398	+					rapZ		LP_RS03375	885		old_locus_tag=lp_0779
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	714514	715398	+	WP_003641036.1	WP_003641036.1		RNase adapter RapZ	rapZ		LP_RS03375	885	294	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	715395	716396	+							LP_RS03380	1002		old_locus_tag=lp_0780
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	715395	716396	+	WP_003641037.1	WP_003641037.1		YvcK family protein			LP_RS03380	1002	333	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	716409	717341	+					whiA		LP_RS03385	933		old_locus_tag=lp_0781
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	716409	717341	+	WP_003641038.1	WP_003641038.1		DNA-binding protein WhiA	whiA		LP_RS03385	933	310	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	717766	719418	+							LP_RS03390	1653		old_locus_tag=lp_0783
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	717766	719418	+	WP_003643972.1	WP_003643972.1		peptide ABC transporter substrate-binding protein			LP_RS03390	1653	550	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	719630	720604	-							LP_RS03395	975		old_locus_tag=lp_0785
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	719630	720604	-	WP_011101156.1	WP_011101156.1		2-hydroxyacid dehydrogenase family protein			LP_RS03395	975	324	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	720763	721353	-					clpP		LP_RS03400	591		old_locus_tag=lp_0786
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	720763	721353	-	WP_003641041.1	WP_003641041.1		ATP-dependent Clp endopeptidase proteolytic subunit ClpP	clpP		LP_RS03400	591	196	
gene	tRNA	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	722172	722243	-							LP_RS03405	72		old_locus_tag=lp_tRNA12
tRNA		GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	722172	722243	-				tRNA-Arg			LP_RS03405	72		anticodon=CCG
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	722326	723663	+					rpoN		LP_RS03410	1338		old_locus_tag=lp_0787
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	722326	723663	+	WP_003641042.1	WP_003641042.1		RNA polymerase factor sigma-54	rpoN		LP_RS03410	1338	445	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	723880	724911	+							LP_RS03415	1032		old_locus_tag=lp_0788
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	723880	724911	+	WP_003641043.1	WP_003641043.1		central glycolytic genes regulator			LP_RS03415	1032	343	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	724978	726000	+					gap		LP_RS03420	1023		old_locus_tag=lp_0789
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	724978	726000	+	WP_003643974.1	WP_003643974.1		type I glyceraldehyde-3-phosphate dehydrogenase	gap		LP_RS03420	1023	340	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	726121	727323	+							LP_RS03425	1203		old_locus_tag=lp_0790
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	726121	727323	+	WP_003641045.1	WP_003641045.1		phosphoglycerate kinase			LP_RS03425	1203	400	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	727350	728108	+					tpiA		LP_RS03430	759		old_locus_tag=lp_0791
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	727350	728108	+	WP_003643975.1	WP_003643975.1		triose-phosphate isomerase	tpiA		LP_RS03430	759	252	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	728190	729518	+					eno		LP_RS03435	1329		old_locus_tag=lp_0792
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	728190	729518	+	WP_003643976.1	WP_003643976.1		phosphopyruvate hydratase	eno		LP_RS03435	1329	442	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	729809	730540	+							LP_RS03440	732		old_locus_tag=lp_0793
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	729809	730540	+	WP_011101158.1	WP_011101158.1		hypothetical protein			LP_RS03440	732	243	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	730557	732110	+							LP_RS03445	1554		old_locus_tag=lp_0794
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	730557	732110	+	WP_003641049.1	WP_003641049.1		ClC family H(+)/Cl(-) exchange transporter			LP_RS03445	1554	517	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	732210	732446	+					secG		LP_RS03450	237		old_locus_tag=lp_0795
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	732210	732446	+	WP_003641050.1	WP_003641050.1		preprotein translocase subunit SecG	secG		LP_RS03450	237	78	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	732495	733244	+							LP_RS03455	750		old_locus_tag=lp_0796
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	732495	733244	+	WP_003641051.1	WP_003641051.1		alpha/beta fold hydrolase			LP_RS03455	750	249	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	733253	735688	+					rnr		LP_RS03460	2436		old_locus_tag=lp_0797
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	733253	735688	+	WP_011101159.1	WP_011101159.1		ribonuclease R	rnr		LP_RS03460	2436	811	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	735714	736184	+					smpB		LP_RS03465	471		old_locus_tag=lp_0799
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	735714	736184	+	WP_003641053.1	WP_003641053.1		SsrA-binding protein SmpB	smpB		LP_RS03465	471	156	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	736644	743063	+							LP_RS03470	6420		old_locus_tag=lp_0800
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	736644	743063	+	WP_011101160.1	WP_011101160.1		bacterial Ig-like domain-containing protein			LP_RS03470	6420	2139	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	743456	744892	+							LP_RS03475	1437		old_locus_tag=lp_0802
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	743456	744892	+	WP_003643977.1	WP_003643977.1		amino acid ABC transporter substrate-binding protein/permease			LP_RS03475	1437	478	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	744895	745629	+							LP_RS03480	735		old_locus_tag=lp_0803
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	744895	745629	+	WP_011101161.1	WP_011101161.1		amino acid ABC transporter ATP-binding protein			LP_RS03480	735	244	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	745903	746466	-							LP_RS03485	564		old_locus_tag=lp_0804
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	745903	746466	-	WP_011101162.1	WP_011101162.1		hypothetical protein			LP_RS03485	564	187	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	746490	747359	-							LP_RS03490	870		old_locus_tag=lp_0805
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	746490	747359	-	WP_003641058.1	WP_003641058.1		Cof-type HAD-IIB family hydrolase			LP_RS03490	870	289	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	747475	748167	+							LP_RS03495	693		old_locus_tag=lp_0806
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	747475	748167	+	WP_003643980.1	WP_003643980.1		uracil-DNA glycosylase			LP_RS03495	693	230	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	748191	749168	+					pta		LP_RS03500	978		old_locus_tag=lp_0807
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	748191	749168	+	WP_003641060.1	WP_003641060.1		phosphate acetyltransferase	pta		LP_RS03500	978	325	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	749278	749739	+					tsaE		LP_RS03505	462		old_locus_tag=lp_0809
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	749278	749739	+	WP_011101163.1	WP_011101163.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	tsaE		LP_RS03505	462	153	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	749745	750260	+							LP_RS03510	516		old_locus_tag=lp_0810
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	749745	750260	+	WP_003641062.1	WP_003641062.1		GNAT family N-acetyltransferase			LP_RS03510	516	171	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	750484	751020	-							LP_RS03515	537		old_locus_tag=lp_0811
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	750484	751020	-	WP_011101164.1	WP_011101164.1		3'-5' exonuclease			LP_RS03515	537	178	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	751083	751847	-							LP_RS03520	765		old_locus_tag=lp_0812
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	751083	751847	-	WP_003643984.1	WP_003643984.1		exodeoxyribonuclease III			LP_RS03520	765	254	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	752169	753071	+							LP_RS03525	903		old_locus_tag=lp_0813
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	752169	753071	+	WP_003641066.1	WP_003641066.1		Gfo/Idh/MocA family oxidoreductase			LP_RS03525	903	300	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	753243	754151	+					murB		LP_RS03530	909		old_locus_tag=lp_0814
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	753243	754151	+	WP_003641067.1	WP_003641067.1		UDP-N-acetylmuramate dehydrogenase	murB		LP_RS03530	909	302	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	754185	756314	+							LP_RS03535	2130		old_locus_tag=lp_0815
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	754185	756314	+	WP_011101165.1	WP_011101165.1		cation:proton antiporter			LP_RS03535	2130	709	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	756453	756965	+							LP_RS03540	513		old_locus_tag=lp_0816
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	756453	756965	+	WP_003641069.1	WP_003641069.1		MarR family transcriptional regulator			LP_RS03540	513	170	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	757041	757706	-							LP_RS03545	666		old_locus_tag=lp_0817
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	757041	757706	-	WP_003643986.1	WP_003643986.1		DUF1361 domain-containing protein			LP_RS03545	666	221	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	757891	758733	+					cdaA		LP_RS03550	843		old_locus_tag=lp_0818
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	757891	758733	+	WP_003643987.1	WP_003643987.1		diadenylate cyclase CdaA	cdaA		LP_RS03550	843	280	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	758730	759707	+							LP_RS03555	978		old_locus_tag=lp_0819
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	758730	759707	+	WP_003641072.1	WP_003641072.1		CdaR family protein			LP_RS03555	978	325	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	759739	761094	+					glmM		LP_RS03560	1356		old_locus_tag=lp_0820
CDS	with_protein	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	759739	761094	+	WP_011101166.1	WP_011101166.1		phosphoglucosamine mutase	glmM		LP_RS03560	1356	451	
gene	protein_coding	GCF_000203855.3	Primary Assembly	chromosome		NC_004567.2	761632	763449	+					glmS		LP_RS03565	1818		old_locus_tag=lp_0822
